county_fips,county_name,population,population_2022,population_2023,population_growth_rate,percent_age_65_plus,diabetes_prevalence,primary_care_physicians,pcp_per_10000,other_pcp_per_10000,median_household_income,growth_score,age65_score,diabetes_score,pcp_shortage_score,other_pcp_shortage_score,income_score,eligible_market,score_balanced,rank_balanced,score_healthcare_need_focus,rank_healthcare_need_focus,score_growth_focus,rank_growth_focus,top10_scenarios,stable_top10
12087,Monroe,80614,81708,80614,-1.3389141822098205,25.352916367,9.5,54.0,6.571742,10.420026,85639,1.4925373134328357,70.1492537313433,13.432835820895523,29.230769230769226,58.2089552238806,94.02985074626866,True,41.517795637198624,27.0,38.27784156142366,23.0,36.698048220436284,30.0,0,False
12115,Sarasota,469013,462286,469013,1.455159792855505,37.774432692,8.2,353.0,7.896084999999999,16.332169999999998,78218,34.32835820895522,97.01492537313433,2.9850746268656714,16.92307692307692,22.388059701492537,80.59701492537313,True,40.69804822043628,28.0,35.200918484500576,29.0,43.7324913892078,27.0,0,False
12099,Palm Beach,1533801,1518477,1533801,1.0091690555734465,25.407468114,10.1,1204.0,8.037453000000001,16.957871,84789,25.37313432835821,71.64179104477611,33.582089552238806,13.84615384615384,16.4179104477612,92.53731343283582,True,39.9707233065442,29.0,35.812284730195174,28.0,40.58438576349024,28.0,0,False
12011,Broward,1962531,1947026,1962531,0.7963427298865039,18.48510928,12.0,1462.0,7.571273000000001,16.606107,74367,17.91044776119403,28.35820895522388,71.64179104477611,20.0,19.40298507462687,71.64179104477611,True,36.23880597014926,30.0,36.865671641791046,26.0,33.373134328358205,32.0,0,False
12085,Martin,163315,162006,163315,0.8079947656259644,32.732449561,9.1,111.0,6.940016,19.410342,76430,19.402985074626866,89.55223880597015,5.970149253731343,24.615384615384613,10.447761194029852,76.11940298507463,True,36.11710677382319,31.0,32.87026406429392,32.0,36.975889781859934,29.0,0,False
12117,Seminole,484271,478772,484271,1.148563408052267,17.015266246,10.0,373.0,7.934599999999999,12.410407,80698,26.865671641791046,17.91044776119403,30.597014925373134,15.384615384615387,40.29850746268657,86.56716417910447,True,34.75602755453502,32.0,28.13719862227325,34.0,34.47187141216992,31.0,0,False
12091,Okaloosa,218464,216482,218464,0.9155495607025064,16.956569503,9.8,149.0,6.986941,16.112495000000003,81990,22.388059701492537,16.417910447761194,23.88059701492537,23.076923076923066,23.88059701492537,88.05970149253731,True,31.928817451205507,33.0,25.246842709529272,37.0,31.745120551090697,34.0,0,False
12086,Miami-Dade,2686867,2673837,2686867,0.4873146717619661,17.403727092,13.3,2205.0,8.280829,23.302233,72030,10.44776119402985,22.388059701492537,89.55223880597015,9.230769230769226,4.477611940298516,65.67164179104478,True,31.24913892078071,34.0,34.17336394948335,31.0,27.653272101033295,37.0,0,False
12057,Hillsborough,1535564,1513301,1535564,1.471154780179224,15.367448052,11.2,1235.0,8.35479,22.161238,76528,37.3134328358209,8.955223880597014,52.23880597014925,7.692307692307693,5.970149253731336,77.61194029850746,True,30.717566016073476,35.0,25.281285878300803,36.0,33.0195177956372,33.0,0,False
12031,Duval,1030822,1016536,1030822,1.4053609513091518,15.712218016,11.9,810.0,8.100527000000001,24.087573000000003,69455,32.83582089552239,10.44776119402985,69.40298507462687,12.307692307692307,2.985074626865668,55.223880597014926,True,29.73765786452354,36.0,29.0097588978186,33.0,30.428243398392652,35.0,0,False
12095,Orange,1471416,1452726,1471416,1.286546809240008,13.487416203,11.5,1317.0,9.256747,19.715702,78487,28.35820895522388,1.4925373134328357,60.447761194029844,3.07692307692308,8.955223880597018,82.08955223880598,True,29.234787600459242,37.0,24.46326061997704,39.0,29.86452353616533,36.0,0,False
12033,Escambia,326928,324878,326928,0.6310061007516667,18.215937454,10.9,246.0,7.630510000000001,25.29609,70838,11.940298507462686,26.865671641791046,47.76119402985074,18.461538461538467,1.492537313432834,59.70149253731343,True,26.45350172215844,38.0,26.331802525832376,35.0,24.85878300803674,39.0,0,False
12103,Pinellas,961596,961739,961596,-0.0148688989424365,27.02507082,9.4,874.0,9.136382,18.646084,70684,4.477611940298507,80.59701492537313,9.701492537313433,4.615384615384613,11.940298507462686,56.71641791044776,True,25.661882893226178,39.0,24.77324913892078,38.0,25.020665901262916,38.0,0,False
12001,Alachua,285994,284030,285994,0.6914762525085378,15.775855438,10.9,434.0,15.542297,35.315426,61843,13.432835820895523,11.940298507462686,47.76119402985074,0.0,0.0,43.28358208955223,True,18.134328358208954,40.0,17.835820895522385,41.0,17.761194029850746,40.0,0,False
12073,Leon,296913,297369,296913,-0.153344834195898,15.282591197,10.7,259.0,8.845115,20.17426,66063,2.9850746268656714,7.462686567164178,44.776119402985074,6.15384615384616,7.462686567164184,46.26865671641791,True,17.723306544202067,41.0,17.956371986222734,40.0,15.25143513203215,41.0,0,False
12003,Baker,28368,27803,28368,2.0321548034384778,15.186125212,10.6,11.0,3.83075,12.690355,69399,59.70149253731343,5.970149253731343,42.53731343283582,64.61538461538461,38.80597014925373,53.73134328358209,False,46.02009184845005,,42.45981630309988,,47.67738231917336,,0,False
12007,Bradford,27858,27313,27858,1.9953868121407388,19.086079403,12.1,4.0,1.4015419999999998,8.974083,59468,58.2089552238806,34.32835820895522,73.88059701492537,90.76923076923077,76.11940298507463,38.80597014925373,False,63.265786452353616,,67.20723306544203,,59.95866819747416,,0,False
12013,Calhoun,13470,13464,13470,0.0445632798573975,19.480326652,11.9,4.0,2.932336,9.651076,47523,5.970149253731343,37.3134328358209,69.40298507462687,80.0,67.16417910447761,1.4925373134328357,False,43.5,,55.559701492537314,,33.56716417910448,,0,False
12027,DeSoto,35979,35312,35979,1.888876302673312,23.622112899,14.7,9.0,2.615671,11.951416,54288,50.74626865671642,59.70149253731343,98.50746268656717,84.61538461538461,44.776119402985074,20.8955223880597,False,60.654420206659005,,70.55683122847302,,56.87141216991964,,0,False
12029,Dixie,17465,17124,17465,1.991357159542163,25.004294303,12.2,4.0,2.338908,4.58059,50966,56.71641791044776,67.16417910447761,76.11940298507463,86.15384615384616,95.5223880597015,7.462686567164178,False,65.51435132032148,,74.37428243398394,,61.13203214695751,,0,False
12037,Franklin,12594,12498,12594,0.7681228996639462,28.132444021,10.9,4.0,3.181674,7.940289,55816,16.417910447761194,82.08955223880598,47.76119402985074,72.3076923076923,80.59701492537313,29.850746268656714,False,53.78989667049369,,61.659012629161886,,46.21928817451206,,0,False
12039,Gadsden,43833,43403,43833,0.990714927539571,20.304336915,13.8,10.0,2.287597,5.247188,51288,23.88059701492537,38.80597014925373,92.53731343283582,87.6923076923077,92.53731343283582,8.955223880597014,False,57.239954075774975,,69.53501722158438,,47.18369690011481,,0,False
12041,Gilchrist,19587,18992,19587,3.1328980623420386,21.013937816,10.3,8.0,4.357298,9.700311,56884,79.1044776119403,47.76119402985074,37.3134328358209,58.46153846153846,65.67164179104478,32.83582089552239,False,55.05051664753157,,52.898966704936846,,58.84385763490241,,0,False
12043,Glades,12786,12454,12786,2.6658101814678017,26.310026592,13.9,,,5.474738,55240,70.1492537313433,77.61194029850746,94.02985074626866,,91.04477611940298,28.35820895522388,False,,,,,,,0,False
12045,Gulf,15693,15314,15693,2.474859605589657,23.207799656,10.6,7.0,4.873634,14.656216,66806,64.17910447761194,58.2089552238806,42.53731343283582,50.76923076923077,28.358208955223887,50.74626865671642,False,49.96727898966706,,48.17738231917337,,53.510907003444316,,0,False
12047,Hamilton,13471,13217,13471,1.9217674207460087,20.666617178,13.6,1.0,0.7146429999999999,2.969342,49260,53.73134328358209,44.776119402985074,91.04477611940298,98.46153846153847,97.01492537313433,2.9850746268656714,False,65.81171067738232,,76.40642939150402,,59.54535017221584,,0,False
12049,Hardee,25760,25645,25760,0.4484304932735426,16.73136646,14.4,4.0,1.573255,7.375776,53913,7.462686567164178,14.925373134328357,97.01492537313433,89.23076923076923,85.07462686567165,19.402985074626866,False,51.80137772675086,,64.02411021814007,,39.35476463834673,,0,False
12051,Hendry,43333,41339,43333,4.823532257674351,13.587796829,15.1,11.0,2.728648,6.461588000000001,54619,100.0,4.477611940298507,100.0,83.07692307692308,86.56716417910448,25.37313432835821,False,69.07807118254878,,70.91848450057405,,70.59586681974741,,0,False
12059,Holmes,19944,19651,19944,1.4910182687903923,20.532490975,11.4,7.0,3.538213,6.016847,51582,40.298507462686565,41.7910447761194,58.2089552238806,69.23076923076923,89.55223880597015,13.432835820895523,False,52.353616532721006,,58.35246842709529,,47.54879448909299,,0,False
12063,Jackson,48622,48211,48622,0.8525025409138994,21.095388919,13.1,15.0,3.1450500000000003,16.659125,50923,20.8955223880597,49.25373134328358,88.05970149253731,76.92307692307692,17.91044776119402,5.970149253731343,False,43.74282433983927,,56.17106773823191,,37.7324913892078,,0,False
